ReviewerID,PaperID,Comment,Score
2881469.0,00000f4552fc7742585d81666afb9c1163393e17,Limited novelty but useful results.,2
40138490.0,00000f4552fc7742585d81666afb9c1163393e17,Interesting methodology.,2
2005841.0,8509485721393d06595834a98c527a3f54052009,Well-structured and informative.,4
2285132256.0,8509485721393d06595834a98c527a3f54052009,Excellent contribution to the field.,1
145194004.0,8509485721393d06595834a98c527a3f54052009,Limited novelty but useful results.,3
66477068.0,a7446c94ef2515f744c1bb04e8f51f0f141a1993,Limited novelty but useful results.,4
2067851.0,a7446c94ef2515f744c1bb04e8f51f0f141a1993,Limited novelty but useful results.,5
1728223.0,a7446c94ef2515f744c1bb04e8f51f0f141a1993,Interesting methodology.,1
66477068.0,e8038192e1de82211b9c45d7a0f2fac2aabdd016,Interesting methodology.,5
1728223.0,e8038192e1de82211b9c45d7a0f2fac2aabdd016,Limited novelty but useful results.,1
100799297.0,dc106710715e3b724e393e3562cbb8f2e5865161,Limited novelty but useful results.,1
3114449.0,dc106710715e3b724e393e3562cbb8f2e5865161,Needs more empirical validation.,5
1791910.0,dc106710715e3b724e393e3562cbb8f2e5865161,Needs more empirical validation.,3
38772386.0,20004cb54319bbfd29c0828913c3bf5a8d6c8a1c,Limited novelty but useful results.,5
2175529.0,20004cb54319bbfd29c0828913c3bf5a8d6c8a1c,Interesting methodology.,4
1693197.0,20004cb54319bbfd29c0828913c3bf5a8d6c8a1c,Well-structured and informative.,3
3455215.0,20004cb54319bbfd29c0828913c3bf5a8d6c8a1c,Needs more empirical validation.,1
3455177.0,20004cb54319bbfd29c0828913c3bf5a8d6c8a1c,Excellent contribution to the field.,1
1684412.0,20004cb54319bbfd29c0828913c3bf5a8d6c8a1c,Interesting methodology.,3
1741922.0,20004cb54319bbfd29c0828913c3bf5a8d6c8a1c,Limited novelty but useful results.,1
2109114748.0,f5658866a7e1a75d0815deb1c269d0b44b4b20b0,Excellent contribution to the field.,5
144022557.0,f5658866a7e1a75d0815deb1c269d0b44b4b20b0,Interesting methodology.,1
100799297.0,d11678f5e923165d55c6434a445ab39dfbe65f5e,Excellent contribution to the field.,3
3114449.0,d11678f5e923165d55c6434a445ab39dfbe65f5e,Interesting methodology.,4
1791910.0,d11678f5e923165d55c6434a445ab39dfbe65f5e,Needs more empirical validation.,2
2108929452.0,d11678f5e923165d55c6434a445ab39dfbe65f5e,Interesting methodology.,2
144375157.0,d11678f5e923165d55c6434a445ab39dfbe65f5e,Interesting methodology.,2
1931563.0,8153eeca504bfe4395b0b5620e706b21740af954,Well-structured and informative.,3
1861231.0,8153eeca504bfe4395b0b5620e706b21740af954,Excellent contribution to the field.,3
2115476.0,8153eeca504bfe4395b0b5620e706b21740af954,Needs more empirical validation.,1
145182284.0,8153eeca504bfe4395b0b5620e706b21740af954,Limited novelty but useful results.,4
1717955.0,8153eeca504bfe4395b0b5620e706b21740af954,Interesting methodology.,1
40274021.0,276a31ccce7e80084334355db5e2445c6201595b,Limited novelty but useful results.,2
3415641.0,276a31ccce7e80084334355db5e2445c6201595b,Well-structured and informative.,4
3823997.0,276a31ccce7e80084334355db5e2445c6201595b,Well-structured and informative.,5
3245530.0,0000c55f1170657127217eb9b3c28fc6383cc647,Excellent contribution to the field.,1
143816652.0,0000c55f1170657127217eb9b3c28fc6383cc647,Well-structured and informative.,4
1682312.0,0000c55f1170657127217eb9b3c28fc6383cc647,Needs more empirical validation.,2
134387373.0,2e1c953f3f76907e98a3f3df23ec6858e0def92c,Well-structured and informative.,3
1744086.0,2e1c953f3f76907e98a3f3df23ec6858e0def92c,Interesting methodology.,1
46633570.0,93574827efa9dddf11d290cc55dbde6aea714453,Well-structured and informative.,4
145736060.0,93574827efa9dddf11d290cc55dbde6aea714453,Excellent contribution to the field.,1
144230333.0,93574827efa9dddf11d290cc55dbde6aea714453,Limited novelty but useful results.,4
1727779.0,93574827efa9dddf11d290cc55dbde6aea714453,Interesting methodology.,1
2894523.0,0001732a8f4f8443731a16387dda81c61a7bf108,Needs more empirical validation.,1
1757723.0,0001732a8f4f8443731a16387dda81c61a7bf108,Needs more empirical validation.,5
3013763.0,0001732a8f4f8443731a16387dda81c61a7bf108,Needs more empirical validation.,3
1881617.0,000178cd12c8a6e5da8215b6365fae03c20fd18d,Excellent contribution to the field.,1
2271057.0,000178cd12c8a6e5da8215b6365fae03c20fd18d,Well-structured and informative.,5
143848064.0,000178cd12c8a6e5da8215b6365fae03c20fd18d,Needs more empirical validation.,5
1687524.0,000178cd12c8a6e5da8215b6365fae03c20fd18d,Interesting methodology.,4
143635540.0,000178cd12c8a6e5da8215b6365fae03c20fd18d,Limited novelty but useful results.,4
2115012707.0,d534fc35fb46d0d1df38838db2107ebb0ec71ff4,Limited novelty but useful results.,2
2151166267.0,d534fc35fb46d0d1df38838db2107ebb0ec71ff4,Limited novelty but useful results.,2
2053993869.0,d534fc35fb46d0d1df38838db2107ebb0ec71ff4,Interesting methodology.,1
