PaperID,KeywordID
00000f4552fc7742585d81666afb9c1163393e17,0
8509485721393d06595834a98c527a3f54052009,1
a7446c94ef2515f744c1bb04e8f51f0f141a1993,2
e8038192e1de82211b9c45d7a0f2fac2aabdd016,3
dc106710715e3b724e393e3562cbb8f2e5865161,3
20004cb54319bbfd29c0828913c3bf5a8d6c8a1c,2
f5658866a7e1a75d0815deb1c269d0b44b4b20b0,4
d11678f5e923165d55c6434a445ab39dfbe65f5e,0
8153eeca504bfe4395b0b5620e706b21740af954,1
276a31ccce7e80084334355db5e2445c6201595b,0
0000c55f1170657127217eb9b3c28fc6383cc647,5
2e1c953f3f76907e98a3f3df23ec6858e0def92c,4
93574827efa9dddf11d290cc55dbde6aea714453,0
0001732a8f4f8443731a16387dda81c61a7bf108,6
000178cd12c8a6e5da8215b6365fae03c20fd18d,1
d534fc35fb46d0d1df38838db2107ebb0ec71ff4,2
82f4f334e87737921035e7d172a895ed41a03fdf,6
860fc334ad902d847f28cbbe0234d158590da5b4,3
48748deac5da9d0ab0d09bffe254ada4b151bbb0,4
77cb4b76139c0e798b0e3fecc4f5db08f97aaf00,0
6e33e92e106c0a1044a89e8dd33330a4d755e7eb,0
000270f4b973ba6db82a3cb6a6f1e139ae2974c6,2
49a9a7363858a821ce824f57ae8b3efa675372a3,4
927d7b49cafc6a856e9d41ae0e66424a21c81a31,0
a766e4ae21d21e3ae16c40c9c6c7c9b396c8f769,0
ad321149076b26ae9b23521cd04f0c9436f100ce,2
bc291d55606ed79f1bab48b35d1ce83b406c17db,2
8daca718703f71dc1772d911b1cabdbee3a86f7d,3
eec878d2f940d79408e2a3d6e20bdc7d20c2f0c5,4
8acccb75195a265961aa11ff2de5843103be764c,0
0003975c67dc6e9f0c405cd4dd072b04b684b742,5
03874e05c356223ba0362bc5483e2dbaba8f3202,3
56e803a517d8cd7fd9f1474ad54dc926533ec38f,2
8962505574f752c9b82ee243bceabf4753bfe717,6
87c198f86bc6eaa9439d309904081ac294382abb,4
e1b372337eb0606ab883cf4a290004c7d7471781,2
4683f3b5aa7c23b3ac9fbe312ef29a4f44c8bb1b,3
181e892fa1207461e93a953c05e0395223345b10,1
914968d3df158691e8eae81da1e4b8086ddac91d,3
87cbb87d3d4f623280c87a7677e984be7b98f2f2,0
cc40bf6fdb7047912277051b9ec9d55f0c6d110d,2
a47326d7996def2cd015c4d2558b63073bb6846d,1
caf27f4542e8dccdaaa22a27a7b95b5ef0c6d2b8,3
94702376b1afab661189d8a68416178a4da8102b,5
000429c966f527613c700947a0912b10ce3f359d,0
ea0cb965e2a5190d2497caddbbb79e7036d207cf,1
000458c2651ab147d503429f6460aa80155e8e35,3
0004fe12ae50ed77aab5d8bfbe74bb58d9b333c1,3
761163778df822d53efe6c3015eb7afeba768b78,3
00059087c954c1af6ece33115315e3e0ecc2f2c2,5
0005b67f248df75bf0f4eba37328142951559498,5
00064ea12f64bd7770aa923e67e09597f5a9925b,2
422337fa8bfebf37fad9730b1711acf8ea5f4e92,5
88b10094e3ba27033dff0f96a412329220cb1f9a,2
1df91e92ac8e388ed0ccf305f0c0eb769373aeff,0
22301fafc0d082fe05d0c6d85693abf34527320c,1
c995f1f102e886192bdd6d29ac567f1c68cb03ad,2
f8413d402f4aa45c2f517ec9f03c7264a49df2d0,1
30c7e10fec9464c9745e1756acd1ca485509524b,1
761eebdd0c9fda978e316c220c54549978c3f987,2
000651c8f5971dff64d5cbeafe7302a53895823e,3
0dc21823b956251f746415eef82aa6a77d42045e,3
0007dba348869daebdaa5f02dd120dde7ce1a305,0
894f88289351fc5ade3ac0c1d5cc249c7c107391,6
6b79f8f0566bada168403c18159ef4ef0206d799,5
00085367adf8049b2091ac5e87b36a7eee7155ae,5
b6b7fbf9b28b99f4e4ffd4e853260ffc3a926b16,2
91137c72a9a9ff30b8dd8fad6b712b087981f07e,0
049034282f17a084b7e0a7839d8ddc3652468baa,6
7df8f1310faa6b63c17f19ef30a0871e726c78d6,1
0008afdfa123c7d32b644f5cebafae98a58e1bfa,5
380fdeb36995ede563642f1b77a8859f95d9fc4d,0
8bc2f055c6e0a54f7a1915b96b4e8bf2bf89a10f,6
430a13ce74e2cce8a5316fdc14d4aba7f651890b,2
0008cb017b9659277632d26566e512a0bdfde553,4
229530a78e6c5c1f135f2c85ecc1b5e25e6bb463,2
a5ff51640fcf48cbd8f73b8e3b236adae66ac2e2,1
4c8da4fa2c8102a7b7dad024f85c54b49ba0636b,5
10dcde63c6ce45a850018a52d32bcec621038b21,1
7b494e3e4fbc1d2fb3eeabe2ceb4b288d027470f,1
b57611c4ad704d2a9c44fad3bd1e062bc10e3d87,5
ae29578c017e6ee5a6f3d829e8929168b1844126,2
a4f7df958aa56eac6cdcd7aa6c25c66726e44758,1
7635dd17557475edb06d91599d9a9bfc9c961cd5,4
d8cfdb075bf76e1ba6279337ac975a1b0d3d55bb,2
26baef4b4409858dd43f89db2394ea47784f845a,5
0009d673b46c3f79835ac13e5a987b3c5e153628,3
0338dabad410f2cd01696078ba1d13dec10b0800,1
5fbbacd98613c917920a10d0626391b513673e80,1
ccd0a61325d74e037ef7ae2674a5eebdb20877e1,5
000a00d829abda9262013a88a5356953f449fc73,5
f6464f77281201e5fb811eaacc61d1497524fc8b,2
16fd3947cefbf8cd51d8a82832c184f1351447e6,0
2bad667e45c76b6edf8e7fe54f6cdd267189c743,4
1b0cda4e00db8567142379549dc0a53190bc77b6,4
f2d7849571599130272e79f20197b4b6ccb89da9,3
a4dacead25704c5dad8828e2c9cd5bf5d85deccb,1
000ab88c22b8501af71f91b4b965a19d0da1a1c8,0
8920b3deb590c3082a8372cabe68e6ac67922708,5
f9ac8a623f436b52e744fe79f45f457ced878618,1
ce150f1082cefcdb82845fefef07fb01321d33c7,0
d073ba490280df2ade4e70e969896a62e6d063ce,0
2e4561251785cf38d691d441a7e429e55a9dd9ac,5
3e696e53734615c4fd43ebeccc66ab1ee924a66c,5
d5d307e4e6653b6d43464c3c517032340b0e0763,5
000ac127a9e270e66d99d77dd6dbf4bf5186ce52,2
445c71912a718b6add8b79d01ee02aaadb51a5cb,0
643eead5e4d0bfa8ae87311d2160535e05790f55,5
8f4ab8fd013ec000ef4c092ad80673543ace5aec,6
870f2c241e59ac83d84c5bff8a4c56fe39e90357,0
d3fc9555b45cbf3f21118fd22e530cf005c8bce6,1
c0805c0f272f253207e02cc54076722084f41b81,0
1968d81206a3345bc41566213fe63e15ac6ff777,3
e0cbad8f82752d6c8dfd5d866e70d56125a09590,3
